,column_skill/air_temperature,column_skill/cloud_water,column_skill/specific_humidity,column_skill/surface_precipitation,column_skill/gscond/air_temperature,column_skill/gscond/cloud_water,column_skill/gscond/specific_humidity,column_skill/precpd/air_temperature,column_skill/precpd/cloud_water,column_skill/precpd/specific_humidity,tropical_average_temp_near_tropopause_5d_k,antarctic_avg_column_integrated_cloud_5d_kg,drifts/air_temperature/10day,drifts/cloud_water_mixing_ratio/10day,drifts/specific_humidity/10day,duration_seconds
zc-emu-monthly-seed5-m05-30d-v1-online,0.9852657914161682,0.943166732788086,0.9889456629753112,0.9538085460662842,0.985910177230835,0.9895761013031006,0.9895761013031006,0.9676939249038696,0.8890629410743713,0.9706495404243468,205.8135004703604,0.11085208672088996,-0.009691178533407197,3.6985540360296782e-09,5.024363885476612e-07,2591100
zc-emu-monthly-seed5-m06-30d-v1-online,0.984727382659912,0.952875554561615,0.9877966046333312,0.9682364463806152,0.9853538870811462,0.9884239435195924,0.9884239435195924,0.9676972031593324,0.9097146391868592,0.9694676995277404,206.18130440334917,0.08645601070107399,-0.0114570083829733,-2.2014560242963193e-08,8.603119663832052e-07,2591100
zc-emu-monthly-seed5-m07-30d-v1-online,0.9854698181152344,0.9447282552719116,0.9885296821594238,0.954783022403717,0.9859470129013062,0.9890174269676208,0.9890174269676208,0.970583975315094,0.8862770795822144,0.9725319743156432,206.35928761945885,0.08971277402164761,-0.004051627299031679,1.740247816065632e-08,-8.601998042886626e-08,2591100
zc-emu-monthly-seed5-m08-30d-v1-online,0.9863253831863404,0.9508284330368042,0.9900264739990234,0.9594647288322448,0.9869019389152528,0.9906174540519714,0.9906174540519714,0.969350039958954,0.9001982808113098,0.9720135927200316,206.5120975516846,0.09144093672376874,-0.006964567622844697,1.5486425167536986e-08,-1.0863553758051411e-06,2591100
zc-emu-monthly-seed5-m09-30d-v1-online,0.97914057970047,0.8969539999961853,0.9832087755203248,0.8883068561553955,0.980972170829773,0.9842584133148192,0.9842584133148192,0.9504134058952332,0.8116136789321899,0.9606119394302368,205.98556615199425,0.0986760559840741,-0.008439297481635322,3.577596804151796e-09,1.923407525476935e-07,2591100
zc-emu-monthly-seed5-m10-30d-v1-online,0.9762757420539856,0.8818823099136353,0.9801745414733888,0.8940739631652832,0.9779061675071716,0.9811612963676452,0.9811612963676452,0.9584734439849854,0.8070112466812134,0.9644991159439088,205.64493395531167,0.08179647750988384,-0.007804603720725822,2.887825280586916e-08,-1.1724530956638314e-06,2591100
zc-emu-monthly-seed5-m11-30d-v1-online,0.9800340533256532,0.9218659996986388,0.9842696189880372,0.9440415501594543,0.984570860862732,0.988472580909729,0.988472580909729,0.9101512432098388,0.8688135147094727,0.912272572517395,205.27195971225288,0.05174707703667935,-0.01003573891181304,9.095712154378356e-09,2.53508537491733e-07,2591100
zc-emu-monthly-seed5-m12-30d-v1-online,0.9835280776023864,0.941461145877838,0.9870665073394777,0.9661182165145874,0.984684407711029,0.9881906509399414,0.9881906509399414,0.9639132022857666,0.907763123512268,0.967066526412964,204.95356391491268,0.058945280197268815,-0.007996343007374663,3.547010805977713e-09,2.685213065266052e-07,2591100
zc-emu-monthly-seed5-m01-30d-v1-offline,0.9909464716911316,0.9864993095397948,0.9951550960540771,0.99846351146698,0.9908772706985474,0.9953077435493468,0.9953077435493468,0.989766001701355,0.9868999719619752,0.9886196851730348,205.8675713555598,0.07078376000461091,,,,2591100
zc-emu-monthly-seed5-m02-30d-v1-offline,0.9908223748207092,0.9862481355667114,0.9949703216552734,0.9985395073890686,0.9907541871070862,0.9951304793357848,0.9951304793357848,0.9895527958869934,0.9870570302009584,0.9885201454162598,206.18174316811175,0.08224954248299685,,,,2591100
zc-emu-monthly-seed5-m03-30d-v1-offline,0.9906851053237916,0.9856448173522948,0.994799554347992,0.9986113905906676,0.9906901717185974,0.9950131177902222,0.9950131177902222,0.9886505007743835,0.9873666167259216,0.9875426292419434,205.9592749266401,0.1253781319465669,,,,2591100
zc-emu-monthly-seed5-m04-30d-v1-offline,0.9911325573921204,0.987129807472229,0.9952164888381958,0.9985727667808532,0.9910963773727416,0.9953851103782654,0.9953851103782654,0.9894784688949584,0.987061619758606,0.9883694052696228,205.1947861346068,0.1051093112192824,,,,2591100
zc-emu-monthly-seed5-m05-30d-v1-offline,0.9912220239639282,0.9864934682846068,0.995109498500824,0.9983665943145752,0.9911679625511168,0.995227575302124,0.995227575302124,0.9901164770126344,0.9862820506095886,0.9890879988670348,205.68026713258917,0.105171707024417,,,,2591100
zc-emu-monthly-seed5-m06-30d-v1-offline,0.9912588596343994,0.986872375011444,0.9949253797531128,0.998386561870575,0.991159975528717,0.995006263256073,0.995006263256073,0.9903810024261476,0.9859643578529358,0.989331841468811,206.13970510444204,0.07868726507423512,,,,2591100
zc-emu-monthly-seed5-m07-30d-v1-offline,0.9911366105079652,0.9863536953926086,0.9947887063026428,0.9982810020446776,0.991051197052002,0.9948915839195251,0.9948915839195251,0.9897968769073486,0.9850224852561952,0.9887562394142152,206.30708920038415,0.08596605195472107,,,,2591100
zc-emu-monthly-seed5-m08-30d-v1-offline,0.9914207458496094,0.987433910369873,0.9951239824295044,0.9986405372619628,0.9914003014564514,0.9952695965766908,0.9952695965766908,0.9891660809516908,0.9874226450920104,0.9880037307739258,206.37934157642275,0.08583354087546155,,,,2591100
zc-emu-monthly-seed5-m09-30d-v1-offline,0.9912388324737548,0.9864851832389832,0.9950454831123352,0.99860280752182,0.991203546524048,0.9951683282852172,0.9951683282852172,0.9902158975601196,0.9880439639091492,0.9889900088310242,205.953711103914,0.09566486827204589,,,,2591100
zc-emu-monthly-seed5-m10-30d-v1-offline,0.9911031126976012,0.9864883422851562,0.9951335191726683,0.99849534034729,0.9910847544670104,0.9953079223632812,0.9953079223632812,0.989693522453308,0.9877053499221802,0.9885879755020142,205.6421844342504,0.0802409797346166,,,,2591100
zc-emu-monthly-seed5-m11-30d-v1-offline,0.9908073544502258,0.9855412244796752,0.9950344562530518,0.9982708096504213,0.9908039569854736,0.9952404499053956,0.9952404499053956,0.9891597628593444,0.9866333603858948,0.9878926277160645,205.2156354856476,0.05450264261430342,,,,2591100
zc-emu-monthly-seed5-m12-30d-v1-offline,0.99107563495636,0.9861598014831544,0.9951130747795104,0.9983957409858704,0.9910261034965516,0.9952593445777892,0.9952593445777892,0.989713490009308,0.9866651892662048,0.988678216934204,204.8564079052143,0.05827796526869147,,,,2591100
zc-emu-normfix-seed0-prognostic-30d-v1-online,0.9810843467712402,0.9506192803382874,0.9853498339653016,0.949821412563324,0.9813286662101746,0.98549884557724,0.98549884557724,0.9690510630607604,0.9058858156204224,0.972729742527008,206.36337527184935,0.10177365369452912,-0.004832043852849211,-4.3935079158263446e-08,1.3850003450173887e-06,2591100
zc-emu-normfix-seed1-prognostic-30d-v1-online,0.9790140986442566,0.9583590030670166,0.9864326119422911,0.976830005645752,0.9841907024383544,0.987716555595398,0.987716555595398,0.8610855340957642,0.9260829091072084,0.9463884234428406,206.21483152070033,0.10007229748409316,-0.00941351226992424,-2.4925684620735863e-08,7.983786950261935e-07,2591100
zc-emu-normfix-seed2-prognostic-30d-v1-online,0.9831311702728271,0.946822226047516,0.9870876669883728,0.928565263748169,0.983930766582489,0.9876567125320436,0.9876567125320436,0.9578229188919068,0.8759291768074036,0.9650803208351136,206.3266577487624,0.08890571548990808,-0.0046086491277407046,-4.5559831017921736e-08,1.2510616240839906e-06,2591100
zc-emu-normfix-seed3-prognostic-30d-v1-online,0.972852110862732,0.929257869720459,0.977495551109314,0.9575839638710022,0.9765621423721312,0.978549599647522,0.978549599647522,0.8875237703323364,0.8881942629814148,0.9421184659004213,206.06566992694613,0.09427364949413158,-0.011334282583732149,1.8481090326520068e-08,8.816730513089721e-07,2591100
zc-emu-normfix-seed4-prognostic-30d-v1-online,0.9818300604820251,0.9400162100791932,0.984261989593506,0.9476364254951476,0.9821978211402892,0.9845198392868042,0.9845198392868042,0.9684849977493286,0.8823251128196716,0.9711387753486632,206.26259632834956,0.09953311210539915,-0.006620759836437173,-5.874146622994851e-09,7.190915674015145e-07,2591100
zc-emu-monthly-normfix-m06-30d-v1-online,0.9799119830131532,0.9455037117004396,0.9835574626922609,0.9584047198295592,0.980208158493042,0.9837351441383362,0.9837351441383362,0.9671741724014282,0.9043745398521424,0.9719769954681396,206.1957838379251,0.08664026834513254,-0.010146395123791762,-2.5171999982500404e-08,1.1960800558422168e-06,2591100
zc-emu-precip-strict-conserve-v1-online,0.9406771659851074,0.7195553779602051,0.9523077011108398,0.8174179792404175,0.951970636844635,0.9550702571868896,0.9550702571868896,0.7427215576171875,0.6577757596969604,0.8901717662811279,207.0359687358452,0.1476314745128125,0.03962970851552541,4.9423220565258996e-08,4.13745905384036e-06,2591100
zc-emu-precip-simple-conserve-v1-online,0.9506304860115052,0.8454341292381287,0.9553870558738708,0.8820682764053345,0.9517943859100342,0.9557942152023317,0.9557942152023317,0.9057608842849731,0.7941452264785767,0.9179375767707824,206.77154841450252,0.14607945385409196,0.006892980831833029,-5.702121595457567e-09,2.675601474884989e-06,2591100
zc-emu-precip-no-conserve-v1-online,0.9453420042991638,0.8207247853279114,0.9504992961883544,0.862097978591919,0.9469494819641112,0.9505141377449036,0.9505141377449036,0.914025902748108,0.773055911064148,0.93629390001297,206.77636161848335,0.1476834142076144,0.006192104985564129,-4.8727397727605774e-09,2.6930641649294125e-06,2591100
zc-emu-temp-in-adjust-phase-dep-gscond-30d-v3-online,0.9733147621154784,0.9318811297416688,0.9772003889083862,0.9233691692352296,0.9801738262176514,0.9828535318374634,0.9828535318374634,0.91677063703537,0.8554495573043823,0.9212124347686768,206.0435520948405,0.08787419141359437,-0.005229109393130216,-2.025650482286987e-08,6.784115483536059e-08,2591100
zc-emu-temp-in-adjust-phase-dep-gscond-30d-v3-offline,0.9737346768379213,0.9645814895629884,0.9812225103378296,0.9977818727493286,0.9927186369895936,0.9949894547462464,0.9949894547462464,0.8643591403961182,0.9684825539588928,0.8800386190414429,206.13849857313505,0.07845561797046435,,,,2591100
zc-emu-no-gscond-classify-v2-online,0.9264532923698424,0.8772053718566895,0.9294402003288268,0.963577151298523,0.9232770800590516,0.9261397123336792,0.9261397123336792,0.9689012169837952,0.8962061405181885,0.9705150127410888,206.1092903900019,0.08820445961350137,-0.011168684819901386,3.445057813497352e-08,8.773247906586866e-07,2591100
zc-emu-monthly-normfix-m01-seed2-30d-v1-online,0.9813339114189148,0.9326746463775636,0.985858678817749,0.9386916160583496,0.9820560812950134,0.986504316329956,0.986504316329956,0.9623620510101318,0.8769833445549011,0.9669306874275208,205.7474652158179,0.06979136010966723,-0.009893388869585353,-6.983687986032226e-09,1.3212482824158984e-06,2591100
zc-emu-monthly-normfix-m02-seed2-30d-v1-online,0.9821563959121704,0.925284743309021,0.987253189086914,0.8975847363471985,0.983172595500946,0.9880474805831908,0.9880474805831908,0.956451654434204,0.8505558967590332,0.9633512496948242,206.18632130207288,0.08280920886341106,-0.005031733694610807,1.8660175124211854e-09,-3.379018801944779e-07,2591100
zc-emu-monthly-normfix-m03-seed2-30d-v1-online,0.9829257130622864,0.9357781410217284,0.9880760312080384,0.9258951544761658,0.983913242816925,0.9889178276062012,0.9889178276062012,0.9577842354774476,0.872320830821991,0.9635549187660216,205.94455129201864,0.1182855304494508,-0.01271310106783119,-2.9627601080838453e-09,4.705781662890478e-07,2591100
zc-emu-monthly-normfix-m04-seed2-30d-v1-online,0.9830559492111206,0.938581645488739,0.988023281097412,0.9157868027687072,0.98388409614563,0.9886890053749084,0.9886890053749084,0.959607183933258,0.8651034235954285,0.9661588072776794,205.22727389747072,0.10592182372012454,-0.010202072293526498,-1.777592516600088e-08,1.146627496237439e-06,2591100
zc-emu-monthly-normfix-m05-seed2-30d-v1-online,0.9831520318984984,0.9231396317481996,0.9873952269554138,0.9053407311439514,0.9838744401931764,0.9879070520401,0.9879070520401,0.9623989462852478,0.8272117376327515,0.9687001705169678,205.74491411366645,0.10645877191851465,-0.009485223980223622,-5.208944139988936e-10,9.413187282331786e-07,2591100
zc-emu-monthly-normfix-m06-seed2-30d-v1-online,0.9797905683517456,0.943033754825592,0.984110713005066,0.9331170320510864,0.9824951887130736,0.98608136177063,0.98608136177063,0.9083526134490968,0.8734074234962463,0.9213851690292358,206.1355856123453,0.0835273364754865,-0.011321969151362054,-4.7185548068323535e-08,1.441118909112837e-06,2591100
zc-emu-monthly-normfix-m07-seed2-30d-v1-online,0.976023495197296,0.9257452487945556,0.9821121096611024,0.8979681730270386,0.9836386442184448,0.987224578857422,0.9874140620231628,0.7937397956848145,0.8260780572891235,0.8318817615509033,206.25521622146127,0.08250663775400825,-0.007437213405825105,-1.2594665236709407e-08,9.790567655126869e-07,1789200
zc-emu-monthly-normfix-m08-seed2-30d-v1-online,0.980353057384491,0.9441157579421996,0.9858093857765198,0.9260082840919496,0.9844207167625428,0.9887475967407228,0.9887475967407228,0.8788174986839294,0.8734086751937866,0.8982641100883484,206.3740416876145,0.08161903389188671,-0.005918317304085008,7.184898997984479e-09,3.97509314506439e-08,2591100
zc-emu-monthly-normfix-m09-seed2-30d-v1-online,0.983500361442566,0.9365655779838562,0.9881989359855652,0.9183415174484252,0.9843970537185668,0.9888830184936525,0.9888830184936525,0.9574811458587646,0.8585115075111389,0.9652218222618104,205.97216099874865,0.0960054622887586,-0.008646728108527669,-1.4171820239367425e-08,1.3856391663480318e-06,2591100
